,precision,recall,f1-score,support
0,0.25,0.002061855670103093,0.00408997955010225,485.0
1,0.0,0.0,0.0,482.0
2,0.29922405431619786,0.9967689822294022,0.46027601641178667,619.0
3,0.0,0.0,0.0,481.0
accuracy,0.29898403483309144,0.29898403483309144,0.29898403483309144,0.29898403483309144
macro avg,0.13730601357904948,0.24970770947487633,0.11609149899047223,2067.0
weighted avg,0.14826787112807283,0.29898403483309144,0.13879752986971242,2067.0
